id,arrive,finish,value
1,0.07958745081631101,19.227323843857693,19.14773639304138
2,0.2051805271128948,20.119422877445654,19.91424235033276
3,0.2975028416933017,12.676556354419533,12.379053512726232
4,0.3762229569250288,9.668375021958877,9.292152065033848
5,0.4313278060345787,6.170279975588522,5.738952169553943
6,0.5351437355289397,2.2196662167160524,1.6845224811871127
7,0.5926956554458036,8.085641386369584,7.492945730923781
8,0.8150480967490693,13.381061619334043,12.566013522584973
9,1.1465393149544507,3.8932474737328855,2.7467081587784348
10,1.1948995250446761,7.10531418969064,5.910414664645964
11,1.351789139041593,3.0803856053094005,1.7285964662678075
12,1.4270565499952519,5.8621998797020085,4.435143329706756
13,1.5109998346691342,3.958890442727723,2.447890608058589
14,1.7708252500616783,11.37573189392323,9.604906643861552
15,1.778193785552963,71.44629444796668,69.66810066241372
16,1.787309888464863,6.002875910299151,4.215566021834288
17,1.7893524471332856,6.289715866407363,4.500363419274077
18,1.9681012150947743,4.972445972294614,3.00434475719984
19,2.118679638281296,21.347356206307616,19.22867656802632
20,2.322711066375851,3.388609075327502,1.0658980089516512
21,2.707233250192536,10.201542347976643,7.494309097784107
22,2.8677572060875507,42.94717841011653,40.079421204028975
23,2.9296501519488474,4.483352798395153,1.5537026464463053
24,3.0813037496368625,56.24162286513681,53.16031911549995
25,3.093891190819917,32.309672832501555,29.215781641681637
26,3.196034379459124,6.740060888683723,3.5440265092245986
27,3.2115073477318887,13.033221391786673,9.821714044054785
28,3.5009493927010413,7.5765004300243035,4.075551037323262
29,3.5747321205321474,18.249520934862062,14.674788814329915
30,3.628288692362223,8.825453926947775,5.197165234585552
31,3.6590167276712684,12.334407834057796,8.675391106386527
32,3.807842211543942,31.235121817717665,27.427279606173723
33,3.8687504531742505,15.47627479317293,11.60752433999868
34,3.952783923861012,15.353073376433393,11.40028945257238
35,3.95468078102725,6.616579411045329,2.661898630018079
36,4.050818873946736,6.8522444445095605,2.8014255705628246
37,4.145518541731113,18.418959994880964,14.27344145314985
38,4.241473339004037,60.12750410855006,55.886030769546025
39,4.52926484687814,14.931802676708132,10.402537829829992
40,4.643778742743177,9.295630973139627,4.651852230396449
41,4.688330592016301,10.455468412513877,5.767137820497576
42,4.74578383289205,6.0030623159874485,1.2572784830953987
43,4.865394613005387,5.978304206964315,1.1129095939589275
44,4.871606142597918,11.257696831995696,6.386090689397778
45,4.981497390603722,23.193410941051564,18.211913550447843
46,5.09255713393316,10.192207657528531,5.099650523595371
47,5.1161778044665605,16.630324031965028,11.514146227498468
48,5.129980673229806,9.258417464185463,4.128436790955657
49,5.167876869843454,11.153492994312604,5.98561612446915
50,5.213087075478092,29.278447949484622,24.06536087400653
51,5.297529853543183,11.345430244779987,6.047900391236804
52,5.355262284636142,7.753765523370974,2.3985032387348317
53,5.800712022697047,31.645049106836968,25.844337084139923
54,5.811475533950576,31.732948942475552,25.921473408524975
55,5.8349056855138715,7.9910557968257985,2.156150111311927
56,5.852497040857331,24.76982050565418,18.91732346479685
57,5.958371313347973,22.206342611361645,16.247971298013674
58,5.9875793668387,7.928445396580493,1.9408660297417928
59,6.050373524946119,10.585625410243,4.535251885296882
60,6.078401226316405,43.088825374426534,37.01042414811013
61,6.095713971593725,10.514059578416266,4.41834560682254
62,6.10740951279784,7.336085522574122,1.228676009776282
63,6.214216731777754,16.037555271869124,9.82333854009137
64,6.229087958916583,16.935094393010175,10.706006434093592
65,6.250976019187087,12.396046258143361,6.145070238956274
66,6.296977415743059,12.50543317596667,6.208455760223612
67,6.469010580920863,17.174533617494724,10.705523036573862
68,6.4792250695873195,11.602701123494214,5.123476053906894
69,6.661206962026821,18.486524027339904,11.825317065313083
70,6.671310440307344,14.856601700968854,8.18529126066151
71,7.046213585377804,10.419318418771338,3.3731048333935343
72,7.109447245644342,44.618194965010076,37.508747719365736
73,7.485639962856295,45.54895631150308,38.06331634864679
74,7.578487812984639,14.143573821949625,6.565086008964986
75,7.71291233945331,9.892252575375222,2.179340235921912
76,7.716909969701661,34.25385705353676,26.536947083835102
77,7.750150994231324,18.704979552708576,10.954828558477253
78,7.7629566703787765,62.108482137861635,54.34552546748286
79,7.798074279065129,16.38718912147943,8.5891148424143
80,7.810713143237039,12.774724402483667,4.964011259246628
81,7.848983239016801,19.245679269702187,11.396696030685387
82,7.902471677641236,30.519079024873186,22.616607347231948
83,7.90910141729034,26.831996692639155,18.922895275348814
84,8.027020370003374,15.00839692626154,6.981376556258166
85,8.110630124526438,18.842682641043236,10.732052516516799
86,8.141471608513623,13.5212219947523,5.379750386238678
87,8.215547503672367,17.16053577374867,8.944988270076303
88,8.225412535040391,21.59788252036688,13.37246998532649
89,8.311202099238935,14.57340068227399,6.262198583035055
90,8.576127691740053,12.558619448031807,3.982491756291754
91,8.614483712784297,11.50213928255963,2.887655569775333
92,8.724568304910314,45.62597987610784,36.90141157119753
93,8.738701376312237,33.46461888152599,24.725917505213758
94,8.864694759533009,32.320170387699356,23.455475628166347
95,8.898860176513189,24.708701124268188,15.809840947755
96,8.919095220191194,14.360663178562467,5.441567958371273
97,9.007408124820154,11.277039662657662,2.2696315378375083
98,9.009439370254869,42.5608606825631,33.551421312308236
99,9.186013478018005,14.18944746344299,5.003433985424985
100,9.186484131475074,15.431901288918441,6.245417157443367
101,9.299747544893854,26.967152364911744,17.66740482001789
102,9.331219711601895,11.00792918349699,1.6767094718950961
103,9.464095499612732,11.552213106396197,2.088117606783465
104,9.791609817916981,21.339273071587726,11.547663253670745
105,9.820211915669725,54.123158500295034,44.30294658462531
