abs_time,mu,sigma,value
36.14628980489184,0.8,1.5504968249049733,1.9381210311312165
36.18040554017515,0.8,1.5504968249049733,1.9381210311312165
36.182717466740435,0.8,1.5504968249049733,1.9381210311312165
36.202039546862245,0.79,1.5327732837552785,1.940219346525669
36.220113635763184,0.79,1.5327732837552785,1.940219346525669
36.3614919672684,0.79,1.5327732837552785,1.940219346525669
36.36764489885688,0.79,1.5327732837552785,1.940219346525669
36.42391521769406,0.79,1.5327732837552785,1.940219346525669
36.45439290954604,0.79,1.5327732837552785,1.940219346525669
36.462568883284334,0.79,1.5327732837552785,1.940219346525669
36.4667353644158,0.78,1.5147757109702593,1.942020142269563
36.47465473991978,0.78,1.5147757109702593,1.942020142269563
36.490015235440055,0.78,1.5147757109702593,1.942020142269563
36.507514740270544,0.78,1.5147757109702593,1.942020142269563
36.57813094095081,0.77,1.516608390488794,1.969621286349083
36.5933628218922,0.77,1.516608390488794,1.969621286349083
36.601540535493115,0.77,1.516608390488794,1.969621286349083
36.619780930268696,0.77,1.516608390488794,1.969621286349083
36.66667035242009,0.77,1.516608390488794,1.969621286349083
36.66734312739139,0.77,1.516608390488794,1.969621286349083
36.70837659763037,0.77,1.516608390488794,1.969621286349083
36.7921320788106,0.77,1.516608390488794,1.969621286349083
36.85672162755252,0.77,1.516608390488794,1.969621286349083
36.86694006394965,0.77,1.516608390488794,1.969621286349083
36.885385087925954,0.77,1.516608390488794,1.969621286349083
36.92886960520904,0.77,1.516608390488794,1.969621286349083
36.972062148023376,0.77,1.516608390488794,1.969621286349083
36.98649585035465,0.77,1.516608390488794,1.969621286349083
37.02805386062459,0.77,1.516608390488794,1.969621286349083
37.047770395275435,0.77,1.516608390488794,1.969621286349083
37.13717053608531,0.77,1.516608390488794,1.969621286349083
37.199931419605626,0.77,1.516608390488794,1.969621286349083
37.21125850522991,0.77,1.516608390488794,1.969621286349083
37.25967181243164,0.77,1.516608390488794,1.969621286349083
37.33216822773637,0.77,1.516608390488794,1.969621286349083
37.39327398374134,0.77,1.516608390488794,1.969621286349083
37.43794007312379,0.77,1.516608390488794,1.969621286349083
37.49961442137458,0.76,1.518372334262761,1.9978583345562646
37.51348981486082,0.76,1.518372334262761,1.9978583345562646
37.51716442398809,0.76,1.518372334262761,1.9978583345562646
37.69666824528386,0.76,1.518372334262761,1.9978583345562646
37.73907729201759,0.76,1.518372334262761,1.9978583345562646
37.752970970348244,0.76,1.518372334262761,1.9978583345562646
37.7824117566767,0.76,1.518372334262761,1.9978583345562646
37.816059273841354,0.75,1.4864709750264078,1.9819613000352103
37.88096646837156,0.75,1.4864709750264078,1.9819613000352103
37.938147794546815,0.75,1.4864709750264078,1.9819613000352103
37.945365452616905,0.96,1.7169387839637114,1.7884778999621993
