id,arrive,alloc,load,finish,value
1,0.07958745081631101,0.07958745081631101,12.592279850775473,13.655003412172968,13.575415961356658
2,0.2051805271128948,0.2051805271128948,20.272269628114557,21.382225648195362,21.177045121082468
3,0.2975028416933017,0.2975028416933017,45.35806404930647,46.445801425840294,46.14829858414699
4,0.3762229569250288,0.3762229569250288,20.91845305530098,21.967972273258866,21.591749316333836
5,0.4313278060345787,0.4313278060345787,2.519721529487442,3.6327589113896663,3.2014311053550877
6,0.5351437355289397,0.5351437355289397,19.049149628093122,20.07107547864273,19.53593174311379
7,0.5926956554458036,0.5926956554458036,17.096971535619545,18.14777900562688,17.555083350181075
8,0.8150480967490693,0.8150480967490693,45.67787984052981,46.88284258770762,46.067794490958555
9,1.1465393149544507,1.1465393149544507,5.43976318230866,6.452692516409026,5.306153201454575
10,1.1948995250446761,1.1948995250446761,1.803565481326452,2.9174499029156435,1.7225503778709674
11,1.351789139041593,1.351789139041593,12.839203946474797,13.857846336834537,12.506057197792945
12,1.4270565499952519,1.4270565499952519,4.975957643199289,6.209129587362221,4.782073037366969
13,1.5109998346691342,1.5109998346691342,39.70675230138718,40.727948379369316,39.21694854470018
14,1.7708252500616783,1.7708252500616783,8.544177246528669,9.583558132811842,7.812732882750163
15,1.778193785552963,1.778193785552963,2.129736629525061,3.275262897103537,1.4970691115505739
16,1.787309888464863,1.787309888464863,2.3530216439624723,3.530746703714495,1.7434368152496318
17,1.7893524471332856,1.7893524471332856,7.96602772333763,8.970904258747925,7.181551811614639
18,1.9681012150947743,1.9681012150947743,11.033163278267223,12.056863544322535,10.08876232922776
19,2.118679638281296,2.118679638281296,7.514321293442645,8.731011107982537,6.612331469701241
20,2.322711066375851,2.322711066375851,12.915611502579141,14.179053309603393,11.856342243227543
21,2.707233250192536,2.707233250192536,5.378348705901916,6.385098337044791,3.6778650868522553
22,2.8677572060875507,2.8677572060875507,9.808931201151491,10.86537800791517,7.99762080182762
23,2.9296501519488474,2.9296501519488474,6.974282774523531,8.13976922525633,5.210119073307483
24,3.0813037496368625,3.0813037496368625,11.93995453185652,13.002396190030067,9.921092440393204
25,3.093891190819917,3.093891190819917,5.291850311325841,6.299409730719249,3.2055185398993324
26,3.196034379459124,3.196034379459124,13.914439305362304,14.961618408302524,11.7655840288434
27,3.2115073477318887,3.2115073477318887,54.78384449949014,56.00815601787336,52.79664867014147
28,3.5009493927010413,3.5009493927010413,11.519244732368238,12.636712857831514,9.135763465130472
29,3.5747321205321474,3.5747321205321474,10.06156094238437,11.070357967816719,7.495625847284572
30,3.628288692362223,3.628288692362223,5.247773916428757,6.328434406322925,2.700145713960702
31,3.6590167276712684,3.6590167276712684,23.598642115316483,24.600448153439036,20.941431425767767
32,3.807842211543942,3.807842211543942,8.65065424797985,9.656963898982491,5.849121687438549
33,3.8687504531742505,3.8687504531742505,50.48571222521797,51.55500921896933,47.68625876579508
34,3.952783923861012,3.952783923861012,27.369935906258984,28.651696368477218,24.698912444616205
35,3.95468078102725,3.95468078102725,13.744276863910352,14.7828524381478,10.828171657120551
36,4.050818873946736,4.050818873946736,11.77141347101588,12.896951837143478,8.846132963196741
37,4.145518541731113,4.145518541731113,28.855318016692113,29.962444298496848,25.816925756765734
38,4.241473339004037,4.241473339004037,22.56325848052272,23.84398043598475,19.602507096980712
39,4.52926484687814,4.52926484687814,33.913178753433044,34.94185345050592,30.41258860362778
40,4.643778742743177,4.643778742743177,43.03924648835956,44.16851737924052,39.52473863649734
41,4.688330592016301,4.688330592016301,24.668343457850263,25.81652831516499,21.128197723148688
42,4.74578383289205,4.74578383289205,18.335953963551635,19.376727813128824,14.630943980236774
43,4.865394613005387,4.865394613005387,11.315383596834852,12.458345708766167,7.59295109576078
44,4.871606142597918,4.871606142597918,7.598354601862393,8.59899261299459,3.727386470396671
45,4.981497390603722,4.981497390603722,8.141767235601456,9.34881098057242,4.367313589968698
46,5.09255713393316,5.09255713393316,6.947305756376299,8.02265693271587,2.9300997987827104
47,5.1161778044665605,5.1161778044665605,10.792759967784093,11.844923604155912,6.728745799689352
48,5.129980673229806,5.129980673229806,5.591379519250669,6.677642188824537,1.547661515594731
49,5.167876869843454,5.167876869843454,56.902272311825385,58.071272998343574,52.90339612850012
50,5.213087075478092,5.213087075478092,10.378833244256342,11.410573505163022,6.19748642968493
51,5.297529853543183,5.297529853543183,7.970347893241868,8.972378278881523,3.6748484253383404
52,5.355262284636142,5.355262284636142,8.246865493295042,9.311094187953449,3.955831903317307
53,5.800712022697047,5.800712022697047,18.53220284336733,19.797624123145123,13.996912100448077
54,5.811475533950576,5.811475533950576,14.119734435199021,15.208236784246031,9.396761250295455
55,5.8349056855138715,5.8349056855138715,82.56871511066933,83.72036627344649,77.88546058793261
56,5.852497040857331,5.852497040857331,37.51348981486081,38.52008966458302,32.66759262372569
57,5.958371313347973,5.958371313347973,26.139516198899386,27.401289048439473,21.4429177350915
58,5.9875793668387,5.9875793668387,10.963883768419972,11.987585274601452,6.000005907762752
59,6.050373524946119,6.050373524946119,16.9710582170752,18.065275247467863,12.014901722521744
60,6.078401226316405,6.078401226316405,17.12940377622784,18.166013375567555,12.08761214925115
61,6.095713971593725,6.095713971593725,41.4997881222562,42.506188743147355,36.41047477155363
62,6.10740951279784,6.10740951279784,25.948523148953672,27.00871362509429,20.90130411229645
63,6.214216731777754,6.214216731777754,19.92831024065594,20.97461771877559,14.760400986997837
64,6.229087958916583,6.229087958916583,51.7118797298519,52.71982122131847,46.49073326240189
