abs_time,mu,sigma,value
0.07958745081631101,0.5,0.7071067811865476,1.4142135623730951
0.2051805271128948,1.0,1.4142135623730951,1.4142135623730951
0.2975028416933017,1.5,2.1213203435596424,1.414213562373095
0.3762229569250288,2.0,2.8284271247461903,1.4142135623730951
0.4313278060345787,2.5,3.5355339059327378,1.4142135623730951
0.5351437355289397,3.0,4.242640687119285,1.414213562373095
0.5926956554458036,3.5,4.949747468305833,1.4142135623730951
0.8150480967490693,4.0,5.656854249492381,1.4142135623730951
1.0751588205859304,4.0,5.656854249492381,1.4142135623730951
1.1465393149544507,4.5,6.363961030678928,1.414213562373095
1.1948995250446761,5.0,5.656854249492381,1.131370849898476
1.351789139041593,5.5,6.363961030678928,1.1570838237598051
1.4270565499952519,6.0,5.656854249492381,0.9428090415820635
1.5109998346691342,6.5,4.949747468305833,0.7614996105085896
1.5930729740069451,6.5,4.949747468305833,0.7614996105085896
1.7708252500616783,7.0,4.242640687119285,0.6060915267313264
1.778193785552963,7.5,3.5355339059327378,0.4714045207910317
1.787309888464863,8.0,2.8284271247461903,0.3535533905932738
1.7893524471332856,8.5,2.1213203435596424,0.24956709924231088
1.803565481326452,8.5,2.1213203435596424,0.24956709924231088
1.9681012150947743,9.0,1.4142135623730951,0.15713484026367724
2.118679638281296,9.5,0.7071067811865476,0.0744322927564787
2.129736629525061,9.5,0.7071067811865476,0.0744322927564787
2.3101341215578794,9.5,0.7071067811865476,0.0744322927564787
2.322711066375851,10.0,0.0,0.0
2.3530216439624723,10.0,0.0,0.0
2.519721529487442,10.0,0.0,0.0
2.707233250192536,10.0,0.0,0.0
2.7204234119236097,10.0,0.0,0.0
2.737084108081166,10.0,0.0,0.0
2.8677572060875507,10.0,0.0,0.0
2.9174499029156435,10.0,0.0,0.0
2.9226003494079302,10.0,0.0,0.0
2.9296501519488474,10.0,0.0,0.0
3.0813037496368625,10.0,0.0,0.0
3.093891190819917,10.0,0.0,0.0
3.196034379459124,10.0,0.0,0.0
3.2115073477318887,10.0,0.0,0.0
3.275262897103537,10.0,0.0,0.0
3.381273934416702,10.0,0.0,0.0
3.4723965732856685,10.0,0.0,0.0
3.5009493927010413,10.0,0.0,0.0
3.530746703714495,10.0,0.0,0.0
3.5747321205321474,10.0,0.0,0.0
3.628288692362223,10.0,0.0,0.0
3.6327589113896663,10.0,0.0,0.0
3.645324614517274,10.0,0.0,0.0
3.6493033039897815,10.0,0.0,0.0
3.6590167276712684,10.0,0.0,0.0
3.807842211543942,10.0,0.0,0.0
3.8687504531742505,10.0,0.0,0.0
3.952783923861012,10.0,0.0,0.0
3.95468078102725,10.0,0.0,0.0
4.050818873946736,10.0,0.0,0.0
4.145518541731113,10.0,0.0,0.0
4.241473339004037,10.0,0.0,0.0
4.341726877574184,10.0,0.0,0.0
4.52926484687814,10.0,0.0,0.0
4.643778742743177,10.0,0.0,0.0
4.688330592016301,10.0,0.0,0.0
4.73521749662764,10.0,0.0,0.0
4.74578383289205,10.0,0.0,0.0
4.865394613005387,10.0,0.0,0.0
4.871606142597918,10.0,0.0,0.0
4.97595764319929,10.0,0.0,0.0
4.981497390603722,10.0,0.0,0.0
5.057821409038887,10.0,0.0,0.0
5.09255713393316,10.0,0.0,0.0
5.1161778044665605,10.0,0.0,0.0
5.129980673229806,10.0,0.0,0.0
5.167876869843454,10.0,0.0,0.0
5.200153814538133,10.0,0.0,0.0
5.213087075478092,10.0,0.0,0.0
5.297529853543183,10.0,0.0,0.0
5.355262284636142,10.0,0.0,0.0
5.439763182308662,10.0,0.0,0.0
5.483822993083429,10.0,0.0,0.0
5.588565358625026,10.0,0.0,0.0
5.726258264344184,10.0,0.0,0.0
5.800712022697047,10.0,0.0,0.0
5.811475533950576,10.0,0.0,0.0
5.8349056855138715,10.0,0.0,0.0
5.852497040857331,10.0,0.0,0.0
5.958371313347973,10.0,0.0,0.0
5.9875793668387,10.0,0.0,0.0
6.050373524946119,10.0,0.0,0.0
6.078401226316405,10.0,0.0,0.0
6.095713971593725,10.0,0.0,0.0
6.10740951279784,10.0,0.0,0.0
6.127144268441494,10.0,0.0,0.0
6.2091295873622245,10.0,0.0,0.0
6.214216731777754,10.0,0.0,0.0
6.229087958916583,10.0,0.0,0.0
6.235951238558426,10.0,0.0,0.0
6.250976019187087,10.0,0.0,0.0
6.279424674816897,10.0,0.0,0.0
6.296977415743059,10.0,0.0,0.0
6.385923125399317,10.0,0.0,0.0
6.45269251640903,10.0,0.0,0.0
6.469010580920863,10.0,0.0,0.0
6.4792250695873195,10.0,0.0,0.0
6.509911499568459,10.0,0.0,0.0
6.595314989767903,10.0,0.0,0.0
6.661206962026821,10.0,0.0,0.0
6.671310440307344,10.0,0.0,0.0
6.758078459855838,10.0,0.0,0.0
6.888927043944822,10.0,0.0,0.0
6.9373481096900065,10.0,0.0,0.0
7.0012675615761175,10.0,0.0,0.0
7.046213585377804,10.0,0.0,0.0
7.109447245644342,10.0,0.0,0.0
7.202517234740893,10.0,0.0,0.0
7.303087889488448,10.0,0.0,0.0
7.485639962856295,10.0,0.0,0.0
7.51432129344265,10.0,0.0,0.0
7.575379326289184,10.0,0.0,0.0
7.578487812984639,10.0,0.0,0.0
7.71291233945331,10.0,0.0,0.0
7.716909969701661,10.0,0.0,0.0
7.750150994231324,10.0,0.0,0.0
7.7629566703787765,10.0,0.0,0.0
7.798074279065129,10.0,0.0,0.0
7.810713143237039,10.0,0.0,0.0
7.823493269806864,10.0,0.0,0.0
7.848983239016801,10.0,0.0,0.0
7.902471677641236,10.0,0.0,0.0
7.90910141729034,10.0,0.0,0.0
7.966027723337634,10.0,0.0,0.0
8.027020370003374,10.0,0.0,0.0
8.110630124526438,10.0,0.0,0.0
8.111609254325975,10.0,0.0,0.0
8.141471608513623,10.0,0.0,0.0
8.176778832851776,10.0,0.0,0.0
8.215547503672367,10.0,0.0,0.0
8.216890289541501,10.0,0.0,0.0
8.225412535040391,10.0,0.0,0.0
8.311202099238935,10.0,0.0,0.0
8.40708870786815,10.0,0.0,0.0
8.544177246528667,10.0,0.0,0.0
8.576127691740053,10.0,0.0,0.0
8.614483712784297,10.0,0.0,0.0
8.721050200225351,10.0,0.0,0.0
8.724568304910314,10.0,0.0,0.0
8.731011107982535,10.0,0.0,0.0
8.738701376312237,10.0,0.0,0.0
8.74086577702198,10.0,0.0,0.0
8.864694759533009,10.0,0.0,0.0
8.898860176513189,10.0,0.0,0.0
8.919095220191194,10.0,0.0,0.0
8.970904258747924,10.0,0.0,0.0
9.007408124820154,10.0,0.0,0.0
9.009439370254869,10.0,0.0,0.0
9.186013478018005,10.0,0.0,0.0
9.186484131475074,10.0,0.0,0.0
9.195421223211515,10.0,0.0,0.0
9.299747544893854,10.0,0.0,0.0
9.331219711601895,10.0,0.0,0.0
9.414648127261557,10.0,0.0,0.0
9.464095499612732,10.0,0.0,0.0
9.58355813281184,10.0,0.0,0.0
9.791609817916981,10.0,0.0,0.0
9.807480013015725,10.0,0.0,0.0
9.820211915669725,10.0,0.0,0.0
9.858510744052554,10.0,0.0,0.0
9.906051212105178,10.0,0.0,0.0
9.995710300363633,10.0,0.0,0.0
10.080632382524096,10.0,0.0,0.0
10.105874382068832,10.0,0.0,0.0
10.21643689216748,10.0,0.0,0.0
10.327619324029856,10.0,0.0,0.0
10.411102552567408,10.0,0.0,0.0
10.470364955328392,10.0,0.0,0.0
10.590389482814459,10.0,0.0,0.0
10.657710947454706,10.0,0.0,0.0
10.777934803460264,10.0,0.0,0.0
10.813236816673173,10.0,0.0,0.0
10.981329037150056,10.0,0.0,0.0
11.031830912257856,10.0,0.0,0.0
11.03316327826722,10.0,0.0,0.0
11.24478084873017,10.0,0.0,0.0
11.27288369893116,10.0,0.0,0.0
11.33183443058563,10.0,0.0,0.0
11.545317477531675,10.0,0.0,0.0
11.663255770428982,10.0,0.0,0.0
11.671049972708627,10.0,0.0,0.0
11.79244669672511,10.0,0.0,0.0
11.812203970994078,10.0,0.0,0.0
11.86202664258463,10.0,0.0,0.0
12.056863544322532,10.0,0.0,0.0
12.174573466886653,10.0,0.0,0.0
12.249050178789668,10.0,0.0,0.0
12.277853168712175,10.0,0.0,0.0
12.332992768525829,10.0,0.0,0.0
12.426233055868229,10.0,0.0,0.0
12.428171033766693,10.0,0.0,0.0
12.46406375541749,10.0,0.0,0.0
12.491409693609322,10.0,0.0,0.0
12.571995775023774,10.0,0.0,0.0
12.59227985077547,10.0,0.0,0.0
12.606255737108905,10.0,0.0,0.0
12.684398440126056,10.0,0.0,0.0
12.702493243232963,10.0,0.0,0.0
12.758489350652459,10.0,0.0,0.0
12.773046747993398,10.0,0.0,0.0
12.808469160951038,10.0,0.0,0.0
12.892858008011395,10.0,0.0,0.0
12.915611502579134,10.0,0.0,0.0
12.97045503653515,10.0,0.0,0.0
12.982230915424125,10.0,0.0,0.0
13.016298088238933,10.0,0.0,0.0
13.067638887351679,10.0,0.0,0.0
13.07363929591454,10.0,0.0,0.0
13.173539827165857,10.0,0.0,0.0
13.27912478677845,10.0,0.0,0.0
13.33558583705762,10.0,0.0,0.0
13.399419304322716,10.0,0.0,0.0
13.404050630163372,10.0,0.0,0.0
13.553851351782862,10.0,0.0,0.0
13.562449233968357,10.0,0.0,0.0
13.60826652211061,10.0,0.0,0.0
13.665512678305445,10.0,0.0,0.0
13.888004141083234,10.0,0.0,0.0
14.052093897456475,10.0,0.0,0.0
14.173795846308792,10.0,0.0,0.0
14.17905330960338,10.0,0.0,0.0
14.18435711075412,10.0,0.0,0.0
14.358203566990015,10.0,0.0,0.0
14.40572895532536,10.0,0.0,0.0
14.436285324709175,10.0,0.0,0.0
14.561546077609036,10.0,0.0,0.0
14.7671728603889,10.0,0.0,0.0
15.2276945988742,10.0,0.0,0.0
15.238085451013008,10.0,0.0,0.0
15.254272459682834,10.0,0.0,0.0
15.456863338957032,10.0,0.0,0.0
15.47459589686815,10.0,0.0,0.0
15.570192538433037,10.0,0.0,0.0
