abs_time,mu,sigma,value
290.21791687600137,1.01,1.4598671587552485,1.445413028470543
290.229008997363,1.02,1.4701061598442888,1.4412805488669498
290.23043062153727,1.01,1.4667699688138363,1.4522474938750853
290.24800937233744,1.01,1.4667699688138363,1.4522474938750853
290.2603048858464,1.01,1.4667699688138363,1.4522474938750853
290.27888096820504,1.02,1.463219088520274,1.4345285181571314
290.28484073377155,1.01,1.4598671587552485,1.445413028470543
290.3014582413885,1.01,1.4598671587552485,1.445413028470543
290.3162781228587,1.01,1.4598671587552485,1.445413028470543
290.359081228002,1.02,1.463219088520274,1.4345285181571314
290.3722079676478,1.03,1.4664944802507989,1.4237810487871834
290.37984550627044,1.02,1.4562994475066182,1.4277445563790374
290.3980640870795,1.02,1.4562994475066182,1.4277445563790374
290.41799680013247,1.02,1.4562994475066182,1.4277445563790374
290.41999265825217,1.02,1.4562994475066182,1.4277445563790374
290.4513657690128,1.01,1.4598671587552485,1.445413028470543
290.4743494673881,1.0,1.4425006345953824,1.4425006345953824
290.49622269052065,1.0,1.4425006345953824,1.4425006345953824
290.5133797952129,1.0,1.4425006345953824,1.4425006345953824
290.53150694411977,1.0,1.4425006345953824,1.4425006345953824
290.54273281552327,1.01,1.438960062199803,1.4247129328710921
290.5490436050327,1.01,1.438960062199803,1.4247129328710921
290.55160252785254,1.01,1.438960062199803,1.4247129328710921
290.56957996773855,1.01,1.438960062199803,1.4247129328710921
290.61152154271844,1.02,1.4493467703093215,1.4209282061856092
290.63390959834294,1.02,1.4493467703093215,1.4209282061856092
290.6382288599432,1.03,1.4595903673305193,1.4170780265344847
290.64029757696125,1.03,1.4595903673305193,1.4170780265344847
290.72806401512645,1.04,1.4628048331195722,1.4065431087688194
290.7326902700704,1.03,1.4526534411903,1.4103431467866991
290.7630294060784,1.03,1.4526534411903,1.4103431467866991
290.8076909089323,1.02,1.435340384787532,1.4071964556740508
290.8155566409115,1.02,1.435340384787532,1.4071964556740508
290.8294375201448,1.02,1.435340384787532,1.4071964556740508
290.837033704321,1.02,1.435340384787532,1.4071964556740508
290.838475857822,1.02,1.435340384787532,1.4071964556740508
290.8711314617363,1.02,1.435340384787532,1.4071964556740508
290.87265687296036,1.02,1.435340384787532,1.4071964556740508
290.88569301085016,1.03,1.4316410023451969,1.389942720723492
290.90780316343876,1.03,1.4316410023451969,1.389942720723492
290.9253868198758,1.04,1.4278612953602599,1.372943553231019
290.9313134366692,1.04,1.4278612953602599,1.372943553231019
290.9360338200734,1.03,1.4316410023451969,1.389942720723492
291.00814682100514,1.03,1.4316410023451969,1.389942720723492
291.0196379997669,1.03,1.4316410023451969,1.389942720723492
291.0462774232812,1.04,1.4419403313563013,1.3864810878425973
291.0469584978437,1.03,1.4456832294800963,1.4035759509515497
291.05639066503215,1.03,1.4456832294800963,1.4035759509515497
291.0745965385474,1.03,1.4456832294800963,1.4035759509515497
291.082978042136,1.02,1.4353403847875321,1.407196455674051
291.099932550381,1.02,1.4353403847875321,1.407196455674051
291.10211443618687,1.03,1.466494480250799,1.4237810487871836
291.1150482595662,1.03,1.466494480250799,1.4237810487871836
291.168950274736,1.02,1.463219088520274,1.4345285181571314
291.1887846000456,1.01,1.4598671587552485,1.445413028470543
291.2024511589146,1.01,1.4598671587552485,1.445413028470543
291.25275687653175,1.0,1.3998556924183148,1.3998556924183148
291.2545643345832,1.0,1.3998556924183148,1.3998556924183148
291.2711333667018,1.0,1.3998556924183148,1.3998556924183148
291.2891203864635,0.99,1.3889535338491057,1.4029833675243493
291.3028300114351,0.99,1.3889535338491057,1.4029833675243493
291.3467360578277,0.98,1.392476175376045,1.4208940565061685
291.3500153934036,0.97,1.3959175686930294,1.439090277003123
291.43468030703025,0.98,1.4069093572060491,1.4356217930673971
291.4700817650422,0.98,1.4069093572060491,1.4356217930673971
291.51105347327166,0.98,1.4069093572060491,1.4356217930673971
291.5199554650991,0.97,1.4031350180178237,1.4465309464101275
291.53887844338334,0.97,1.4031350180178237,1.4465309464101275
291.5820574749394,0.98,1.399711369958792,1.4282769081212163
291.62611763304653,0.99,1.4177446878757822,1.432065341288669
291.62790836731915,1.0,1.4213381090374029,1.4213381090374029
291.63769692273866,1.0,1.4213381090374029,1.4213381090374029
291.6587706046183,0.99,1.424851578306323,1.4392440184912352
291.66054285484756,0.99,1.424851578306323,1.4392440184912352
291.6861122032682,0.99,1.424851578306323,1.4392440184912352
291.70248551706845,0.99,1.424851578306323,1.4392440184912352
291.73506253848603,1.0,1.4425006345953824,1.4425006345953824
291.7363480112755,0.99,1.424851578306323,1.4392440184912352
291.7413203417488,0.99,1.424851578306323,1.4392440184912352
291.7422275854542,0.99,1.424851578306323,1.4392440184912352
291.75711126654187,1.0,1.483920551114581,1.483920551114581
291.7701083747078,1.01,1.4804790379529804,1.4658208296564161
291.77859152430545,1.0,1.483920551114581,1.483920551114581
291.8267727482833,1.0,1.483920551114581,1.483920551114581
291.84517488194973,0.99,1.4529315541380814,1.4676076304425065
291.8771289050734,0.99,1.4529315541380814,1.4676076304425065
291.9603561046843,0.99,1.4529315541380814,1.4676076304425065
291.96561753166634,0.99,1.4529315541380814,1.4676076304425065
292.03497992794183,0.99,1.4529315541380814,1.4676076304425065
292.0386049233371,1.0,1.4633571475938953,1.4633571475938953
292.04257814406355,1.0,1.4633571475938953,1.4633571475938953
