abs_time,mu,sigma,value
59.618513240146704,1.06,1.1705131396532935,1.1042576789182015
59.631158282393926,1.05,1.1666666666666663,1.1111111111111107
59.67110711824143,1.05,1.1666666666666663,1.1111111111111107
59.68879111074942,1.05,1.1666666666666663,1.1111111111111107
59.7011195249086,1.04,1.171375777503194,1.1263228629838404
59.70398902930102,1.03,1.1586739198433926,1.124926135770284
59.70603139928739,1.03,1.1586739198433926,1.124926135770284
59.70680701143516,1.03,1.1586739198433926,1.124926135770284
59.73016509891662,1.04,1.154000507676306,1.1096158727656789
59.74432984086897,1.03,1.123261844681449,1.0905454802732515
59.7491239103703,1.03,1.123261844681449,1.0905454802732515
59.75139314050321,1.03,1.123261844681449,1.0905454802732515
59.75424348068498,1.03,1.123261844681449,1.0905454802732515
59.76060452415738,1.02,1.1279730636514473,1.105855944756321
59.774352268632654,1.02,1.1279730636514473,1.105855944756321
59.78098710857766,1.01,1.12362148988227,1.1124965246359109
59.7831937630406,1.01,1.12362148988227,1.1124965246359109
59.80544206430518,1.02,1.1279730636514473,1.105855944756321
59.839383475671916,1.01,1.12362148988227,1.1124965246359109
59.841746779552366,1.02,1.1457431093955017,1.123277558230884
59.84978004211344,1.01,1.1414592822038345,1.1301577051523115
59.939055363384476,1.01,1.1414592822038345,1.1301577051523115
59.95342161950497,1.0,1.145919418253881,1.145919418253881
59.96385135177116,1.0,1.145919418253881,1.145919418253881
59.999685105882676,1.0,1.145919418253881,1.145919418253881
60.006325950979324,0.99,1.1325755042059105,1.144015660814051
60.01623963264689,0.99,1.1325755042059105,1.144015660814051
60.06081717553133,0.99,1.1325755042059105,1.144015660814051
60.099990971293096,0.99,1.1325755042059105,1.144015660814051
60.10842136229426,0.99,1.1325755042059105,1.144015660814051
60.11810890505216,0.98,1.1368928060838686,1.1600947000855801
60.132216372994336,0.98,1.1368928060838686,1.1600947000855801
60.13912958701059,0.98,1.1368928060838686,1.1600947000855801
60.17983163639503,0.98,1.1368928060838686,1.1600947000855801
60.19522705108691,0.98,1.1368928060838686,1.1600947000855801
60.22076771824336,0.98,1.1368928060838686,1.1600947000855801
60.341770889969034,0.97,1.1322187032191227,1.1672357765145596
60.36136347266485,0.97,1.1322187032191227,1.1672357765145596
60.38913878009321,0.97,1.1322187032191227,1.1672357765145596
60.39163980699804,0.97,1.1322187032191227,1.1672357765145596
60.41797597754329,0.97,1.1322187032191227,1.1672357765145596
60.461337746854326,0.98,1.1279730636514473,1.1509929220933137
60.463348222923024,0.98,1.1279730636514473,1.1509929220933137
60.471908436139536,0.98,1.1279730636514473,1.1509929220933137
60.50630908387212,0.99,1.1325755042059105,1.144015660814051
60.51725063606518,0.99,1.1325755042059105,1.144015660814051
60.53870252938072,0.99,1.1325755042059105,1.144015660814051
60.569919429386616,1.0,1.1281521496355325,1.1281521496355325
60.59569836277067,1.0,1.1281521496355325,1.1281521496355325
60.61315157780051,1.0,1.1281521496355325,1.1281521496355325
60.61735892746584,1.0,1.1281521496355325,1.1281521496355325
60.61744037297179,1.01,1.1502744512208005,1.1388855952681194
60.64880006068823,1.01,1.1502744512208005,1.1388855952681194
60.65271492561517,1.01,1.1502744512208005,1.1388855952681194
60.656737119755384,1.0,1.1547005383792515,1.1547005383792515
60.7533445682655,0.99,1.1325755042059105,1.144015660814051
60.756967449643305,0.99,1.1325755042059105,1.144015660814051
60.84368353620844,0.98,1.1368928060838686,1.1600947000855801
60.86045091473334,0.97,1.123261844681449,1.1580019017334526
60.874840296949984,0.97,1.123261844681449,1.1580019017334526
60.8888532552987,0.96,1.127435635019184,1.1744121198116502
60.95833122321889,0.96,1.127435635019184,1.1744121198116502
60.98376571222681,0.96,1.127435635019184,1.1744121198116502
61.006304861223875,0.97,1.1322187032191229,1.1672357765145598
61.02550065122839,0.98,1.1368928060838686,1.1600947000855801
61.03236734635579,0.97,1.1411052590016455,1.1763971742285007
61.05038106990047,0.97,1.1411052590016455,1.1763971742285007
61.065248559511076,0.98,1.1368928060838686,1.1600947000855801
61.08440415515289,0.97,1.1411052590016455,1.1763971742285007
61.090885937339195,0.97,1.1411052590016455,1.1763971742285007
61.15001312057104,0.97,1.1411052590016455,1.1763971742285007
61.17930100536213,0.98,1.1457431093955017,1.1691256218321446
61.18579266192041,0.97,1.1322187032191227,1.1672357765145596
61.185830365265296,0.98,1.1279730636514473,1.1509929220933137
61.198774529838694,0.98,1.1279730636514473,1.1509929220933137
61.24274487070686,0.98,1.1279730636514473,1.1509929220933137
61.279288406064076,0.99,1.12362148988227,1.134971201901283
61.33705421378868,0.99,1.12362148988227,1.134971201901283
61.34422947833803,1.0,1.119162746219357,1.119162746219357
61.34489792697844,1.0,1.119162746219357,1.119162746219357
61.37763698629466,1.01,1.12362148988227,1.1124965246359109
61.397635119990476,1.01,1.12362148988227,1.1124965246359109
61.404872109679175,1.02,1.1545255704960773,1.1318878142118405
61.43840907985616,1.02,1.1545255704960773,1.1318878142118405
61.47713233361702,1.03,1.1673591018736578,1.1333583513336483
61.48707839630555,1.02,1.1545255704960773,1.1318878142118405
61.52300746398123,1.03,1.1673591018736578,1.1333583513336483
61.55810574078811,1.02,1.1632417260102532,1.1404330647159344
61.563744563170324,1.01,1.1590225767142475,1.1475471056576707
61.57722017845184,1.01,1.1590225767142475,1.1475471056576707
61.583983681136225,1.02,1.1545255704960775,1.1318878142118407
61.625153739233355,1.03,1.1845384388576479,1.1500373192792697
61.64875421679207,1.03,1.1845384388576479,1.1500373192792697
61.65848685512179,1.03,1.1845384388576479,1.1500373192792697
61.6688741924072,1.03,1.1845384388576479,1.1500373192792697
61.69199669859574,1.02,1.1804809839787143,1.1573342980183472
61.69569694635988,1.01,1.1590225767142475,1.1475471056576707
61.71462771869877,1.01,1.1590225767142475,1.1475471056576707
61.72212461700756,1.01,1.1590225767142475,1.1475471056576707
61.782590457026316,1.0,1.1634153830577252,1.1634153830577252
61.79192139714775,1.0,1.1634153830577252,1.1634153830577252
61.801684788330014,1.0,1.1634153830577252,1.1634153830577252
61.82796837045168,1.0,1.1634153830577252,1.1634153830577252
61.847616847336184,1.0,1.1634153830577252,1.1634153830577252
61.879451328662775,1.0,1.1634153830577252,1.1634153830577252
61.91325414640711,1.0,1.1634153830577252,1.1634153830577252
61.92967885710287,1.0,1.1634153830577252,1.1634153830577252
61.937425213560516,1.0,1.1634153830577252,1.1634153830577252
61.9541102607016,1.0,1.1634153830577252,1.1634153830577252
